label,time_utc,price_est,first_seen_utc
Buy,2026-09-19T05:01Z,81001.96,2026-09-19T07:44:45Z
TP1,2026-09-19T05:06Z,81127.46,2026-09-19T07:44:45Z
Sell+,2026-09-19T05:13Z,81101.68,2026-09-19T07:44:45Z
Buy,2026-09-19T05:24Z,81058.63,2026-09-19T07:44:45Z
Sell,2026-09-19T05:35Z,81105.02,2026-09-19T07:44:45Z
Buy,2026-09-19T06:29Z,80942.84,2026-09-19T07:44:45Z
TP1,2026-09-19T06:33Z,81075.28,2026-09-19T07:44:45Z
Sell+,2026-09-19T06:52Z,81093.48,2026-09-19T07:44:45Z
Buy,2026-09-19T07:01Z,81046.99,2026-09-19T07:44:45Z
TP1,2026-09-19T07:08Z,81130.6,2026-09-19T07:44:45Z
TP2,2026-09-19T07:13Z,81184.17,2026-09-19T07:44:45Z
TP3,2026-09-19T07:15Z,81213.41,2026-09-19T07:44:45Z
Sell+,2026-09-19T07:22Z,81202.14,2026-09-19T07:44:45Z
TP1,2026-09-19T07:25Z,81074.0,2026-09-19T07:44:45Z
TP2,2026-09-19T07:37Z,81022.07,2026-09-19T07:44:45Z
