label,time_utc,price_est,first_seen_utc
TP1,2026-09-18T02:57Z,4339.55,2026-09-18T06:07:46Z
TP2,2026-09-18T03:18Z,4333.44,2026-09-18T06:07:46Z
Buy,2026-09-18T03:32Z,4340.14,2026-09-18T06:07:46Z
TP1,2026-09-18T03:34Z,4355.46,2026-09-18T06:07:46Z
TP2,2026-09-18T03:41Z,4360.95,2026-09-18T06:07:46Z
Sell,2026-09-18T04:16Z,4359.65,2026-09-18T06:07:46Z
Buy+,2026-09-18T04:29Z,4353.07,2026-09-18T06:07:46Z
TP1,2026-09-18T04:42Z,4365.97,2026-09-18T07:45:45Z
TP2,2026-09-18T05:00Z,4369.72,2026-09-18T07:45:45Z
Sell,2026-09-18T05:30Z,4367.53,2026-09-18T07:45:45Z
Buy+,2026-09-18T05:37Z,4361.34,2026-09-18T07:45:45Z
TP2,2026-09-18T06:06Z,4389.37,2026-09-18T07:45:45Z
TP3,2026-09-18T06:39Z,4398.15,2026-09-18T07:45:45Z
